AP6;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-84;-84;-84;-84;-84;-84;-84;;-87;-87;-72.5;-72.5;-73.3;-73.4;-71.5;-71;-71;-71;;;9
8.5;-84;-84;-84;-84;-84;-84;-84;;-87;-87;-72.5;-72.5;-73.3;-73.4;-71.5;-71;-71;-71;;;8.5
8;-83.9;-83.9;-83.9;-84;-84;-84.1;-84.1;;-85.9;-85.9;-75;-73.1;-73.4;-73.1;-71.2;-71;-71;-71;;;8
7.5;-83.6;-83.6;-83.3;-83.7;-83.6;-83.6;-83.6;;-78.9;-78.9;-71.4;-71.4;-71.8;-72.1;-71;-71;-71;-71;;;7.5
7;-82.4;-82.4;-82.1;-83.2;-83.7;-83.9;-83.9;;-78.4;-78.4;-71;-71;-71.3;-71.4;-71;-71;-71;-71;;;7
6.5;-80.3;-80.3;-81.2;-83;-83.8;-84;-83.95;-83.9;-81.4;-78.1;-73.8;-71.4;-71.3;-71;-71;-70.9;-71;-71;;;6.5
6;-79.1;-79.1;-79.4;-82.4;-83.4;-83.9;-83.9;-83.9;-84.7;-84.1;-76;-71.1;-71;-71;-69.9;-68.7;-68.7;-68.7;;;6
5.5;-79;-79;-79.1;-81.2;-81.7;-81.2;-79;-85.9;-89.2;-87.6;-71.4;-71.8;-71.5;-70.8;-69.6;-67.5;-65;-65;;;5.5
5;-79;-79;-79;-80.3;-80.3;-79.4;-79.36666667;-86.15;-87.8;-87.6;-71.4;-71.8;-71.5;-70.8;-66.4;-63.2;-63.1;-63.1;;;5
4.5;-79;-79;-79;-79.7;-79.8;-79.5;-79.7;-86.4;-86.4;;;;;;-67.6;-67.6;-64.8;-64.8;;;4.5
4;-78.8;-78.8;-77.7;-78.8;-76.2;-79.6;-79.2;-78.8;-74.55;-69.3;-69.2;-71.4;-74;-76.7;-77;-79;-69.6;-69.6;;;4
3.5;-75.7;-75.7;-74;-73.2;-72.8;-75.8;-73.2;-73.8;-70.3;-69.3;-69.2;-71.4;-74;-76.7;-75;-75.6;-61.8;-61.8;;;3.5
3;-73.9;-73.9;-71.4;-70.1;-70.3;-71.7;-71;-70.9;-72.6;-73.3;-73.3;-72.4;-72.3;-77.9;-67.1;-61.2;-54.5;-54.5;;;3
2.5;-73.6;-73.6;-69.7;-68.4;-68.8;-68.9;-68.7;-69.5;-72.9;-73.93333333;-75.15;-67.6;-64.4;-68;-61.2;-57.95;-51.15;-54.25;-47;-47;2.5
2;-74.6;-74.6;-67.5;-66.9;-67.5;-67.9;-68.1;-68.3;-71.7;-75.6;-77;-62.8;-56.5;-58.1;-55.3;-54.7;-47.8;-54;-47;-47;2
1.5;-77.7;-77.7;-65.5;-65.8;-67.1;-67.8;-68;-68.1;-68.5;-73.1;-68.7;-56.8;-55;-54.9;-55;-54.9;-53.9;-92;-47;-47;1.5
1;-77.7;-77.7;-65.5;-65.8;-67.1;-67.8;-68;-68.1;-68.5;-64.15;-55.2;-55;-55;-55;-54.9;-55;-54.7;-91.5;-45;-45;1
0.5;;;;;;;;;;-51.9;-51.9;-54.5;-55;-55;-54.1;-55;-57;-92;-47;-47;0.5
0;;;;;;;;;;-51.9;-51.9;-54.5;-55;-55;-54.1;-55;-57;-92;-47;-47;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
