AP4;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-77;-77;-77;-77;-77;-77;-77;;-70;-70;-40.1;-40.3;-44.2;-47.4;-52.9;-52.9;-53;-53;;;9
8.5;-77;-77;-77;-77;-77;-77;-77;;-70;-70;-40.1;-40.3;-44.2;-47.4;-52.9;-52.9;-53;-53;;;8.5
8;-77.3;-77.3;-77.2;-77;-77.2;-77.2;-77.2;;-67.6;-67.6;-47.6;-42.7;-48.6;-50.9;-53.1;-53.1;-53;-53;;;8
7.5;-77.4;-77.4;-77.4;-77.3;-77.8;-77.2;-77.2;;-60.2;-60.2;-53.1;-52.8;-52.8;-53.1;-53;-53;-53;-53;;;7.5
7;-78;-78;-78.9;-79.3;-81.2;-83.2;-83.2;;-59.2;-59.2;-53;-53;-53.1;-53.3;-53;-53;-53;-53;;;7
6.5;-80.7;-80.7;-80.2;-80.7;-83.3;-84;-83.85;-76.2;-61.4;-58.1;-55.1;-53.3;-53.2;-53;-53;-53.2;-53;-53;;;6.5
6;-82;-82;-81.9;-80.5;-82.1;-83.8;-83.7;-76.2;-64.7;-64.1;-57.4;-53.6;-53;-53;-55.6;-58;-58;-58;;;6
5.5;-82;-82;-81.9;-79.2;-77.8;-77.2;-73;-66.1;-61.2;-60.4;-54.2;-54.6;-53.9;-53.4;-55.7;-60;-65.3;-65.3;;;5.5
5;-82;-82;-82;-78.1;-74.6;-73.5;-73;-65.35;-62.9;-60.4;-54.2;-54.6;-53.9;-53.4;-62.1;-68.5;-68.8;-68.8;;;5
4.5;-82;-82;-81.6;-77.1;-73.6;-73.2;-72.5;-64.6;-64.6;;;;;;-68.3;-68.3;-68.7;-68.7;;;4.5
4;-81.2;-81.2;-78.7;-75.1;-73.5;-72.7;-71;-69.2;-72.25;-76.6;-76.8;-73.4;-70.1;-68;-75.8;-78;-72.1;-72.1;;;4
3.5;-78;-78;-76.5;-74.4;-73.8;-72.9;-72.8;-72.2;-75.3;-76.6;-76.8;-73.4;-70.1;-68;-73.6;-75;-66.2;-66.2;;;3.5
3;-77;-77;-75.5;-74.5;-74.4;-74;-73.9;-73.6;-71.9;-70;-70.9;-72.5;-71.1;-67.1;-72.4;-62.2;-72.9;-72.9;;;3
2.5;-77.3;-77.3;-74.9;-74.2;-74.9;-75.2;-75.7;-74.9;-71.7;-71.3;-72.45;-75.05;-75.25;-72.75;-76.05;-71.15;-78.5;-80.95;-81.8;-81.8;2.5
2;-77.9;-77.9;-73.6;-73.3;-75.2;-75.8;-76.8;-76.6;-73.4;-72.2;-74;-77.6;-79.4;-78.4;-79.7;-80.1;-84.1;-89;-81.8;-81.8;2
1.5;-79.8;-79.8;-72.3;-72.7;-75.1;-76.3;-77;-77;-76.1;-75.2;-76.4;-79.6;-80;-80.1;-80;-80.2;-82.5;-92;-83.9;-83.9;1.5
1;-79.8;-79.8;-72.3;-72.7;-75.1;-76.3;-77;-77;-76.1;-78.25;-81.3;-80.1;-80;-80;-80;-80;-80.2;-91.5;-78;-78;1
0.5;;;;;;;;;;-81.9;-81.9;-80.3;-80;-80;-80.5;-80;-80;-92;-84;-84;0.5
0;;;;;;;;;;-81.9;-81.9;-80.3;-80;-80;-80.5;-80;-80;-92;-84;-84;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
